symbol,positions,winning_positions,total_profit,avg_position_pnl,position_win_rate,friction_preset
BNB/USDT,6,6,86.66666666666663,14.444444444444438,1.0,frictionless_reference
AVAX/USDT,11,6,36.66666666666663,3.33333333333333,0.5454545454545454,frictionless_reference
ETH/USDT,3,1,-1.666666666666675,-0.5555555555555584,0.3333333333333333,frictionless_reference
ADA/USDT,1,0,-10.0,-10.0,0.0,frictionless_reference
LINK/USDT,8,4,-13.33333333333331,-1.6666666666666639,0.5,frictionless_reference
BTC/USDT,2,0,-20.0,-10.0,0.0,frictionless_reference
XRP/USDT,4,0,-63.93168429731357,-15.982921074328393,0.0,frictionless_reference
DOGE/USDT,12,2,-86.66666666666664,-7.2222222222222205,0.16666666666666666,frictionless_reference
BNB/USDT,6,6,81.68922455423686,13.614870759039476,1.0,baseline
AVAX/USDT,11,6,35.30739137582394,3.2097628523476307,0.5454545454545454,baseline
ETH/USDT,3,1,-2.5618957397478894,-0.8539652465826298,0.3333333333333333,baseline
ADA/USDT,1,0,-10.0,-10.0,0.0,baseline
LINK/USDT,8,4,-14.427522042962615,-1.8034402553703268,0.5,baseline
BTC/USDT,2,0,-20.0,-10.0,0.0,baseline
XRP/USDT,5,1,-57.569101178471726,-11.513820235694345,0.2,baseline
DOGE/USDT,12,2,-86.8571020337036,-7.238091836141966,0.16666666666666666,baseline
LINK/USDT,2,0,-20.0,-10.0,0.0,stress
AVAX/USDT,6,0,-54.542285331370124,-9.090380888561688,0.0,stress
DOGE/USDT,8,0,-80.12125410995371,-10.015156763744214,0.0,stress
