symbol,positions,winning_positions,total_profit,avg_position_pnl,position_win_rate
XRP/USDT,12,9,88.33333333333336,7.361111111111113,0.75
BTC/USDT,12,8,83.33333333333329,6.94444444444444,0.6666666666666666
AVAX/USDT,8,7,76.77524482215446,9.596905602769308,0.875
TON/USDT,9,6,48.39811994718494,5.377568883020548,0.6666666666666666
DOGE/USDT,5,3,35.0,7.0,0.6
ETH/USDT,10,5,30.000000000000007,3.000000000000001,0.5
ADA/USDT,6,3,19.545309224215508,3.257551537369251,0.5
SOL/USDT,4,2,16.666666666666657,4.166666666666664,0.5
BNB/USDT,11,5,-1.361531084026451,-0.12377555309331373,0.45454545454545453
LINK/USDT,7,1,-41.66666666666667,-5.952380952380953,0.14285714285714285
