source_symbol,candidates_tested,survivors,median_expectancy,best_expectancy,median_max_dd_pct,best_win_rate,survival_rate_pct
DOGE/USDT,15,13,2.440461009372584,3.304363843676246,2.449157147416301,0.6507936507936508,86.66666666666667
ETH/USDT,15,12,2.3684097487907687,3.0317040829735507,2.215247702152043,0.6309523809523809,80.0
BNB/USDT,15,11,1.4010043588688244,2.072371388866606,1.6696016337877706,0.5952380952380952,73.33333333333333
XRP/USDT,15,7,1.6115165226581851,3.0771605687164185,3.889632041485212,0.5865384615384616,46.666666666666664
LINK/USDT,15,5,1.2956750411096103,2.420576637320923,4.075128442695883,0.6,33.333333333333336
BTC/USDT,15,4,1.6704585894203143,3.3143820602881364,2.0898026364798845,0.5789473684210527,26.666666666666668
SOL/USDT,15,1,1.5826877476874046,2.167118390061004,5.407476555903329,0.5533980582524272,6.666666666666667
ADA/USDT,15,0,2.4597687189692112,3.027948640042656,5.621462886161714,0.5735294117647058,0.0
AVAX/USDT,15,0,1.3033239499410825,2.9474401767570475,3.3917978548583,0.5573770491803278,0.0
TON/USDT,15,0,-0.8374243937295868,0.991024288794844,3.115214766515788,0.4567901234567901,0.0
