timeframe,symbol,file,start,end,expected_count,actual_count,missing_timestamps,completeness_ratio,sma50_nans,ema20_nans,rel_weak_14_nans,high30_nans,low30_nans
1H,BTC/USDT,data/market_data_1H.parquet,2023-04-01T06:00:00,2026-03-31T08:00:00,26283,26283,0,1.0,0,0,0,0,0
1H,ETH/USDT,data/market_data_1H.parquet,2023-04-01T06:00:00,2026-03-31T08:00:00,26283,26283,0,1.0,0,0,0,0,0
1H,LINK/USDT,data/market_data_1H.parquet,2023-04-01T06:00:00,2026-03-31T08:00:00,26283,26283,0,1.0,0,0,0,0,0
1H,SOL/USDT,data/market_data_1H.parquet,2023-04-01T06:00:00,2026-03-31T08:00:00,26283,26283,0,1.0,0,0,0,0,0
4H,BTC/USDT,data/market_data_4H.parquet,2023-04-01T08:00:00,2026-03-31T08:00:00,6571,6571,0,1.0,0,0,0,0,0
4H,ETH/USDT,data/market_data_4H.parquet,2023-04-01T08:00:00,2026-03-31T08:00:00,6571,6571,0,1.0,0,0,0,0,0
4H,LINK/USDT,data/market_data_4H.parquet,2023-04-01T08:00:00,2026-03-31T08:00:00,6571,6571,0,1.0,0,0,0,0,0
4H,SOL/USDT,data/market_data_4H.parquet,2023-04-01T08:00:00,2026-03-31T08:00:00,6571,6571,0,1.0,0,0,0,0,0
1D,ADA/USDT,data/market_data_1D.parquet,2023-04-02T00:00:00,2026-03-31T00:00:00,1095,1095,0,1.0,0,0,0,0,0
1D,AVAX/USDT,data/market_data_1D.parquet,2023-04-02T00:00:00,2026-03-31T00:00:00,1095,1095,0,1.0,0,0,0,0,0
1D,BNB/USDT,data/market_data_1D.parquet,2023-04-02T00:00:00,2026-03-31T00:00:00,1095,1095,0,1.0,0,0,0,0,0
1D,BTC/USDT,data/market_data_1D.parquet,2023-04-02T00:00:00,2026-03-31T00:00:00,1095,1095,0,1.0,0,0,0,0,0
1D,DOGE/USDT,data/market_data_1D.parquet,2023-04-02T00:00:00,2026-03-31T00:00:00,1095,1095,0,1.0,0,0,0,0,0
1D,ETH/USDT,data/market_data_1D.parquet,2023-04-02T00:00:00,2026-03-31T00:00:00,1095,1095,0,1.0,0,0,0,0,0
1D,LINK/USDT,data/market_data_1D.parquet,2023-04-02T00:00:00,2026-03-31T00:00:00,1095,1095,0,1.0,0,0,0,0,0
1D,SOL/USDT,data/market_data_1D.parquet,2023-04-02T00:00:00,2026-03-31T00:00:00,1095,1095,0,1.0,0,0,0,0,0
1D,TON/USDT,data/market_data_1D.parquet,2024-08-08T00:00:00,2026-03-31T00:00:00,601,601,0,1.0,0,0,0,0,0
1D,XRP/USDT,data/market_data_1D.parquet,2023-04-02T00:00:00,2026-03-31T00:00:00,1095,1095,0,1.0,0,0,0,0,0
